Airport,Terminal,Date,hour,date_time,Total,Flights,Booths
TPA,Main,12/10/2021,15:00,2021/12/10 15:00,119,1,4
TPA,Main,12/11/2021,12:00,2021/12/11 12:00,212,2,7
TPA,Main,12/11/2021,13:00,2021/12/11 13:00,100,1,7
TPA,Main,12/11/2021,14:00,2021/12/11 14:00,282,1,7
TPA,Main,12/11/2021,16:00,2021/12/11 16:00,98,1,4
TPA,Main,12/11/2021,17:00,2021/12/11 17:00,7,1,1
TPA,Main,12/12/2021,12:00,2021/12/12 12:00,133,1,7
TPA,Main,12/12/2021,13:00,2021/12/12 13:00,79,1,8
TPA,Main,12/12/2021,15:00,2021/12/12 15:00,134,1,7
TPA,Main,12/12/2021,17:00,2021/12/12 17:00,218,1,6
TPA,Main,12/13/2021,11:00,2021/12/13 11:00,85,1,3
TPA,Main,12/13/2021,12:00,2021/12/13 12:00,121,1,3
TPA,Main,12/13/2021,13:00,2021/12/13 13:00,107,2,3
TPA,Main,12/13/2021,17:00,2021/12/13 17:00,233,1,5
TPA,Main,12/14/2021,12:00,2021/12/14 12:00,101,1,4
TPA,Main,12/14/2021,13:00,2021/12/14 13:00,73,1,4
TPA,Main,12/14/2021,18:00,2021/12/14 18:00,289,1,4
TPA,Main,12/15/2021,14:00,2021/12/15 14:00,97,1,6
TPA,Main,12/15/2021,16:00,2021/12/15 16:00,292,1,6
TPA,Main,12/15/2021,17:00,2021/12/15 17:00,13,1,1
TPA,Main,12/16/2021,12:00,2021/12/16 12:00,167,2,6
TPA,Main,12/16/2021,13:00,2021/12/16 13:00,67,2,4
TPA,Main,12/16/2021,17:00,2021/12/16 17:00,517,2,8
TPA,Main,12/17/2021,11:00,2021/12/17 11:00,80,1,8
TPA,Main,12/17/2021,12:00,2021/12/17 12:00,48,1,7
TPA,Main,12/17/2021,13:00,2021/12/17 13:00,69,1,5
TPA,Main,12/17/2021,15:00,2021/12/17 15:00,302,1,8
TPA,Main,12/17/2021,17:00,2021/12/17 17:00,210,1,5
TPA,Main,12/18/2021,12:00,2021/12/18 12:00,203,2,6
TPA,Main,12/18/2021,14:00,2021/12/18 14:00,426,2,8
TPA,Main,12/18/2021,16:00,2021/12/18 16:00,137,1,5
TPA,Main,12/19/2021,12:00,2021/12/19 12:00,185,2,6
TPA,Main,12/19/2021,13:00,2021/12/19 13:00,91,1,6
